step,metric,value
0,top1_accuracy,0.012736178934574127
0,top3_accuracy,0.040167950093746185
0,loss_total,4.192749500274658
0,loss_bigram,4.183987140655518
0,loss_ind,4.1677775382995605
0,kl_b_total,1.8231947422027588
0,kl_b_bigram,1.8134857416152954
10,top1_accuracy,0.03540937602519989
10,top3_accuracy,0.07375787198543549
10,loss_total,3.7668159008026123
10,loss_bigram,3.857079029083252
10,loss_ind,4.159355163574219
10,kl_b_total,1.4140700101852417
10,kl_b_bigram,1.5995506048202515
20,top1_accuracy,0.05920223891735077
20,top3_accuracy,0.1045486330986023
20,loss_total,3.577336072921753
20,loss_bigram,3.6695573329925537
20,loss_ind,4.145460605621338
20,kl_b_total,1.2369521856307983
20,kl_b_bigram,1.4784220457077026
30,top1_accuracy,0.04450664669275284
30,top3_accuracy,0.08509447425603867
30,loss_total,3.4744019508361816
30,loss_bigram,3.5634350776672363
30,loss_ind,4.146276950836182
30,kl_b_total,1.1322556734085083
30,kl_b_bigram,1.409692406654358
40,top1_accuracy,0.05500349774956703
40,top3_accuracy,0.09335199743509293
40,loss_total,3.405061721801758
40,loss_bigram,3.500584125518799
40,loss_ind,4.133556842803955
40,kl_b_total,1.073198914527893
40,kl_b_bigram,1.3704601526260376
50,top1_accuracy,0.06592022627592087
50,top3_accuracy,0.10468859225511551
50,loss_total,3.3637259006500244
50,loss_bigram,3.4592125415802
50,loss_ind,4.131541728973389
50,kl_b_total,1.0380195379257202
50,kl_b_bigram,1.3455674648284912
61,top1_accuracy,0.05038488283753395
61,top3_accuracy,0.0950314924120903
61,loss_total,3.3503060340881348
61,loss_bigram,3.4276936054229736
61,loss_ind,4.141490936279297
61,kl_b_total,1.0164332389831543
61,kl_b_bigram,1.3280043601989746
71,top1_accuracy,0.054163750261068344
71,top3_accuracy,0.10020993649959564
71,loss_total,3.321601629257202
71,loss_bigram,3.40869402885437
71,loss_ind,4.14907693862915
71,kl_b_total,0.9872166514396667
71,kl_b_bigram,1.317446231842041
81,top1_accuracy,0.060321904718875885
81,top3_accuracy,0.09839048236608505
81,loss_total,3.2954366207122803
81,loss_bigram,3.3927109241485596
81,loss_ind,4.148614406585693
81,kl_b_total,0.9746968150138855
81,kl_b_bigram,1.306351661682129
91,top1_accuracy,0.06452064216136932
91,top3_accuracy,0.11154653877019882
91,loss_total,3.2908878326416016
91,loss_bigram,3.377889394760132
91,loss_ind,4.149964332580566
91,kl_b_total,0.9721003770828247
91,kl_b_bigram,1.2965937852859497
101,top1_accuracy,0.0768369510769844
101,top3_accuracy,0.12778165936470032
101,loss_total,3.2642102241516113
101,loss_bigram,3.36690092086792
101,loss_ind,4.143041133880615
101,kl_b_total,0.9753533005714417
101,kl_b_bigram,1.2877639532089233
112,top1_accuracy,0.07557732611894608
112,top3_accuracy,0.13072077929973602
112,loss_total,3.2591257095336914
112,loss_bigram,3.359266757965088
112,loss_ind,4.147265434265137
112,kl_b_total,0.9551783800125122
112,kl_b_bigram,1.2826600074768066
122,top1_accuracy,0.0594821535050869
122,top3_accuracy,0.11168649047613144
122,loss_total,3.2550148963928223
122,loss_bigram,3.3527257442474365
122,loss_ind,4.154101848602295
122,kl_b_total,0.9414046406745911
122,kl_b_bigram,1.2785383462905884
132,top1_accuracy,0.056682996451854706
132,top3_accuracy,0.10160952061414719
132,loss_total,3.255518913269043
132,loss_bigram,3.3470234870910645
132,loss_ind,4.156062602996826
132,kl_b_total,0.9511609673500061
132,kl_b_bigram,1.2753061056137085
142,top1_accuracy,0.06480056047439575
142,top3_accuracy,0.1055283397436142
142,loss_total,3.2461681365966797
142,loss_bigram,3.3409595489501953
142,loss_ind,4.154595851898193
142,kl_b_total,0.9501104950904846
142,kl_b_bigram,1.270754098892212
152,top1_accuracy,0.08327502012252808
152,top3_accuracy,0.1372988075017929
152,loss_total,3.2267589569091797
152,loss_bigram,3.335585594177246
152,loss_ind,4.155592918395996
152,kl_b_total,0.9572250247001648
152,kl_b_bigram,1.2670406103134155
162,top1_accuracy,0.10202939063310623
162,top3_accuracy,0.1496151089668274
162,loss_total,3.205012798309326
162,loss_bigram,3.334273338317871
162,loss_ind,4.153320789337158
162,kl_b_total,0.9398661851882935
162,kl_b_bigram,1.264245629310608
173,top1_accuracy,0.0701189637184143
173,top3_accuracy,0.12358292192220688
173,loss_total,3.2123725414276123
173,loss_bigram,3.3312013149261475
173,loss_ind,4.153435230255127
173,kl_b_total,0.9156937599182129
173,kl_b_bigram,1.2604546546936035
183,top1_accuracy,0.08761371672153473
183,top3_accuracy,0.1410776823759079
183,loss_total,3.2144439220428467
183,loss_bigram,3.3244645595550537
183,loss_ind,4.147034168243408
183,kl_b_total,0.9248772263526917
183,kl_b_bigram,1.255558729171753
193,top1_accuracy,0.1027291789650917
193,top3_accuracy,0.15591321885585785
193,loss_total,3.191751480102539
193,loss_bigram,3.3229079246520996
193,loss_ind,4.1444783210754395
193,kl_b_total,0.9309760928153992
193,kl_b_bigram,1.2543848752975464
203,top1_accuracy,0.11560531705617905
203,top3_accuracy,0.15577326714992523
203,loss_total,3.1842451095581055
203,loss_bigram,3.321756362915039
203,loss_ind,4.147356986999512
203,kl_b_total,0.931235671043396
203,kl_b_bigram,1.256218671798706
213,top1_accuracy,0.11098670214414597
213,top3_accuracy,0.15773268043994904
213,loss_total,3.1937060356140137
213,loss_bigram,3.316983938217163
213,loss_ind,4.1422224044799805
213,kl_b_total,0.9534709453582764
213,kl_b_bigram,1.255900502204895
224,top1_accuracy,0.09279216080904007
224,top3_accuracy,0.14625611901283264
224,loss_total,3.1952905654907227
224,loss_bigram,3.316558361053467
224,loss_ind,4.150195121765137
224,kl_b_total,0.9294763803482056
224,kl_b_bigram,1.2542365789413452
234,top1_accuracy,0.1199440136551857
234,top3_accuracy,0.16361092031002045
234,loss_total,3.1792514324188232
234,loss_bigram,3.3134496212005615
234,loss_ind,4.145421028137207
234,kl_b_total,0.9546136260032654
234,kl_b_bigram,1.2545567750930786
244,top1_accuracy,0.14471659064292908
244,top3_accuracy,0.1890832781791687
244,loss_total,3.1472702026367188
244,loss_bigram,3.309457778930664
244,loss_ind,4.141646385192871
244,kl_b_total,0.9480181336402893
244,kl_b_bigram,1.2518876791000366
254,top1_accuracy,0.15017494559288025
254,top3_accuracy,0.2015395313501358
254,loss_total,3.139897108078003
254,loss_bigram,3.3044352531433105
254,loss_ind,4.145592212677002
254,kl_b_total,0.9376553297042847
254,kl_b_bigram,1.2480075359344482
