step,metric,value
0,top1_accuracy,0.01024346798658371
0,top3_accuracy,0.04320071265101433
0,loss_total,4.185910701751709
0,loss_bigram,4.180261135101318
0,loss_ind,4.1724467277526855
0,kl_b_total,1.850364327430725
0,kl_b_bigram,1.8450136184692383
4,top1_accuracy,0.012470308691263199
4,top3_accuracy,0.041122328490018845
4,loss_total,3.973756790161133
4,loss_bigram,4.03083610534668
4,loss_ind,4.179213047027588
4,kl_b_total,1.6383776664733887
4,kl_b_bigram,1.743320345878601
9,top1_accuracy,0.01350950077176094
9,top3_accuracy,0.05774940550327301
9,loss_total,3.7855184078216553
9,loss_bigram,3.888507127761841
9,loss_ind,4.172457695007324
9,kl_b_total,1.4527575969696045
9,kl_b_bigram,1.6445226669311523
14,top1_accuracy,0.030136579647660255
14,top3_accuracy,0.07185272872447968
14,loss_total,3.6609954833984375
14,loss_bigram,3.7803049087524414
14,loss_ind,4.16326379776001
14,kl_b_total,1.340462327003479
14,kl_b_bigram,1.5696769952774048
19,top1_accuracy,0.050623513758182526
19,top3_accuracy,0.10436461120843887
19,loss_total,3.56400203704834
19,loss_bigram,3.699795961380005
19,loss_ind,4.1550822257995605
19,kl_b_total,1.2611488103866577
19,kl_b_bigram,1.5144718885421753
